"gene_id" "GSM158644.CEL"
"206785_s_at" 4.78117
"206791_s_at" 8.27067
"206792_x_at" 10.0429
"206809_s_at" 8.70621
"206810_at" 4.85559
"206819_at" 6.83692
"206848_at" 7.28752
"206889_at" 7.85192
"206909_at" 4.97086
"206922_at" 7.83161
"206936_x_at" 8.37885
"206951_at" 8.0089
"206955_at" 7.70958
"206956_at" 5.99631
"206962_x_at" 6.58568
"206963_s_at" 7.22665
"206969_at" 6.7174
"207003_at" 8.39044
"207046_at" 5.88134
"207047_s_at" 7.00611
"207086_x_at" 6.80149
"207096_at" 6.52695
"207110_at" 5.17106
"207118_s_at" 6.18306
"207126_x_at" 8.39333
"207131_x_at" 7.67208
"207156_at" 4.77521
"207169_x_at" 10.0085
"207188_at" 6.92997
"207222_at" 6.70555
"207243_s_at" 13.0319
"207247_s_at" 4.86778
"207273_at" 4.36693
"207313_x_at" 6.34782
"207356_at" 8.39361
"207371_at" 4.67451
"207414_s_at" 7.83344
"207417_s_at" 6.13837
"207428_x_at" 7.78717
"207434_s_at" 5.92922
"207436_x_at" 8.67768
"207461_at" 4.71018
"207463_x_at" 7.12886
"207470_at" 5.03025
"207479_at" 4.85674
"207481_at" 4.77983
"207487_at" 4.43066
"207488_at" 6.52217
"207493_x_at" 7.31892
"207524_at" 9.16767
"207548_at" 5.37236
"207561_s_at" 6.01862
"207575_at" 6.04222
"207588_at" 4.52178
"207646_s_at" 6.72834
"207667_s_at" 7.78092
"207730_x_at" 9.0108
"207731_at" 5.52362
"207737_at" 4.63744
"207739_s_at" 5.28991
"207743_at" 7.01644
"207744_at" 4.6311
"207748_at" 6.82646
"207750_at" 4.34539
"207755_at" 7.14575
"207756_at" 5.87583
"207758_at" 6.47433
"207759_s_at" 6.2348
"207779_at" 5.79445
"207856_s_at" 7.37213
"207866_at" 5.24566
"207871_s_at" 7.46092
"207875_at" 5.29417
"207879_at" 4.50551
"207881_at" 4.71572
"207882_at" 7.39279
"207888_at" 4.79156
"207891_s_at" 6.23355
"207909_x_at" 5.48051
"207912_s_at" 4.51384
"207915_at" 7.21346
"207918_s_at" 4.70994
"207953_at" 6.54689
"207958_at" 5.60468
"207960_at" 7.84882
"207979_s_at" 7.50279
"207985_at" 7.05448
"208014_x_at" 6.40539
"208024_s_at" 7.75047
"208026_at" 5.34062
"208043_at" 6.39555
"208045_at" 5.45939
"208046_at" 6.09423
"208061_at" 5.84459
"208068_x_at" 7.75312
"208069_x_at" 6.8039
"208073_x_at" 10.3129
"208076_at" 7.07183
"208077_at" 5.9233
"208078_s_at" 10.156
"208082_x_at" 7.93962
"208095_s_at" 8.85519
"208098_at" 6.69258
"208118_x_at" 8.5999
"208120_x_at" 9.26958
"208129_x_at" 7.5617
"208133_at" 5.66097
"208139_s_at" 6.45216
"208144_s_at" 5.43824
"208145_at" 5.64705
"208154_at" 4.94182
"208155_x_at" 6.67822
"208160_at" 7.49597
"208162_s_at" 6.15005
"208180_s_at" 5.82814
"208181_at" 4.86672
"208185_x_at" 6.64045
"208187_s_at" 7.24147
"208192_at" 4.95914
"208201_at" 6.07119
"208207_at" 5.47821
"208221_s_at" 5.76524
"208235_x_at" 5.69382
"208238_x_at" 9.16167
"208246_x_at" 8.02899
"208254_at" 6.56399
"208273_at" 5.67552
"208276_at" 6.70353
"208278_s_at" 5.37314
"208281_x_at" 7.15199
"208282_x_at" 5.37828
"208284_x_at" 7.68454
"208286_x_at" 8.11586
"208301_at" 7.12347
"208306_x_at" 9.31286
"208307_at" 6.76291
"208310_s_at" 5.23599
"208312_s_at" 7.72628
"208332_at" 7.83469
"208339_at" 5.11337
"208344_x_at" 7.63184
"208347_at" 7.79272
"208356_x_at" 6.45977
"208407_s_at" 9.32472
"208421_at" 5.58474
"208426_x_at" 7.091
"208451_s_at" 10.3208
"208469_s_at" 6.11423
"208470_s_at" 5.7419
"208490_x_at" 7.27376
"208496_x_at" 6.91456
"208498_s_at" 5.10491
"208506_at" 5.01745
"208523_x_at" 5.94122
"208525_s_at" 5.22564
"208527_x_at" 7.16656
"208534_s_at" 6.25099
"208539_x_at" 8.06318
"208540_x_at" 8.5076
"208545_x_at" 5.97486
"208567_s_at" 5.85876
"208575_at" 5.21469
"208576_s_at" 5.5316
"208577_at" 6.79511
"208580_x_at" 8.11998
"208582_s_at" 5.32961
"208583_x_at" 7.67514
"208586_s_at" 4.81529
"208587_s_at" 7.26677
"208596_s_at" 7.25919
"208607_s_at" 7.4039
"208609_s_at" 6.76336
"208638_at" 10.8151
"208646_at" 11.8
"208661_s_at" 7.17308
"208662_s_at" 7.96298
"208663_s_at" 6.03634
"208664_s_at" 7.7615
"208687_x_at" 10.6705
"208750_s_at" 5.38642
"208755_x_at" 11.8045
"208772_at" 8.09987
"208773_s_at" 8.36855
"208778_s_at" 9.38379
"208779_x_at" 10.3718
"208785_s_at" 8.50016
"208805_at" 10.7515
"208810_at" 6.00076
"208811_s_at" 7.22081
"208825_x_at" 13.8141
"208834_x_at" 13.8297
"208849_at" 5.27605
"208862_s_at" 9.20076
"208906_at" 9.5951
"208929_x_at" 12.669
"208962_s_at" 6.82677
"208963_x_at" 6.42433
"208964_s_at" 8.42083
"209069_s_at" 10.5997
"209079_x_at" 9.39526
"209084_s_at" 5.37293
"209093_s_at" 8.12921
"209154_at" 11.5973
"209181_s_at" 10.1209
"209219_at" 10.03
"209223_at" 6.56646
"209312_x_at" 9.1112
"209328_x_at" 4.60038
"209353_s_at" 6.46183
"209359_x_at" 6.822
"209360_s_at" 10.0843
"209372_x_at" 7.61645
"209403_at" 8.64693
"209404_s_at" 9.15509
"209424_s_at" 5.76894
"209425_at" 5.68837
"209426_s_at" 7.59027
"209446_s_at" 5.35364
"209458_x_at" 9.80786
"209490_s_at" 8.99573
"209499_x_at" 7.41997
"209500_x_at" 9.30153
"209505_at" 5.69402
"209535_s_at" 6.36623
"209563_x_at" 11.1157
"209607_x_at" 7.7989
"209616_s_at" 7.02689
"209631_s_at" 5.53248
"209671_x_at" 8.72911
"209701_at" 7.24249
"209751_s_at" 6.35689
"209767_s_at" 5.39715
"209768_s_at" 5.58347
"209805_at" 7.14384
"209813_x_at" 7.31971
"209823_x_at" 7.36673
"209825_s_at" 7.67031
"209826_at" 7.82643
"209836_x_at" 9.07958
"209905_at" 8.60711
"209912_s_at" 6.36345
"209918_at" 7.92121
"209919_x_at" 7.92496
"209931_s_at" 6.5723
"209978_s_at" 6.5403
"209986_at" 6.03898
"209994_s_at" 5.59962
"210034_s_at" 4.9077
"210035_s_at" 4.54054
"210069_at" 7.65874
"210070_s_at" 6.94292
"210098_s_at" 6.81088
"210106_at" 7.35585
"210123_s_at" 5.85336
"210129_s_at" 7.30025
"210225_x_at" 8.5415
"210230_at" 7.78206
"210289_at" 5.40783
"210292_s_at" 5.45053
"210338_s_at" 8.6766
"210365_at" 7.898
"210390_s_at" 4.81021
"210394_x_at" 7.28481
"210396_s_at" 9.82376
"210406_s_at" 9.21348
"210410_s_at" 5.77299
"210413_x_at" 7.278
"210424_s_at" 7.70484
"210425_x_at" 7.89467
"210435_at" 4.6273
"210437_at" 6.70996
"210474_s_at" 5.64345
"210483_at" 7.19634
"210484_s_at" 6.47229
"210491_at" 4.61324
"210497_x_at" 8.31808
"210500_at" 5.98805
"210524_x_at" 9.97036
"210527_x_at" 7.79399
"210529_s_at" 8.05668
"210546_x_at" 5.99562
"210553_x_at" 7.38854
"210580_x_at" 8.57399
"210584_s_at" 5.88866
"210593_at" 6.21687
"210598_at" 6.00024
"210645_s_at" 9.0585
"210646_x_at" 13.1774
"210655_s_at" 7.19156
"210674_s_at" 6.24856
"210676_x_at" 8.42651
"210679_x_at" 7.79207
"210698_at" 5.04287
"210699_at" 5.78942
"210703_at" 4.5107
"210717_at" 5.318
"210718_s_at" 7.73546
"210723_x_at" 6.07488
"210748_at" 5.47318
"210749_x_at" 10.0564
"210778_s_at" 6.84269
"210784_x_at" 8.25178
"210795_s_at" 7.00839
"210805_x_at" 5.82242
"210818_s_at" 5.69781
"210822_at" 7.67612
"210824_at" 6.27526
"210848_at" 5.47828
"210873_x_at" 6.21662
"210875_s_at" 4.3673
"210881_s_at" 6.68913
"210890_x_at" 8.02568
"210891_s_at" 9.58606
"210893_at" 4.57532
"210914_at" 5.65779
"210918_at" 6.65982
"210920_x_at" 5.91035
"210921_at" 5.3213
"210922_at" 6.94901
"210928_at" 5.8044
"210949_s_at" 9.99967
"210956_at" 6.92566
"210972_x_at" 8.66334
"211050_x_at" 7.8444
"211062_s_at" 7.62787
"211066_x_at" 9.4467
"211073_x_at" 13.0429
"211133_x_at" 8.6033
"211135_x_at" 8.70322
"211144_x_at" 7.52242
"211157_at" 9.02501
"211179_at" 4.67602
"211180_x_at" 7.56636
"211181_x_at" 7.30971
"211182_x_at" 7.59375
"211187_at" 4.45663
"211218_at" 5.74307
"211227_s_at" 4.85242
"211240_x_at" 9.5766
"211262_at" 6.95441
"211271_x_at" 10.1027
"211289_x_at" 6.80088
"211324_s_at" 4.7578
"211345_x_at" 12.8904
"211369_at" 5.37092
"211374_x_at" 6.34319
"211378_x_at" 12.6928
"211388_s_at" 6.39237
"211389_x_at" 6.4102
"211410_x_at" 8.14997
"211411_at" 5.59928
"211417_x_at" 7.90022
"211425_x_at" 7.06831
"211430_s_at" 9.15469
"211435_at" 6.30758
"211436_at" 4.98835
"211437_at" 4.42741
"211444_at" 7.46231
"211455_at" 6.32981
"211458_s_at" 10.5052
"211459_at" 5.30037
"211460_at" 6.07801
"211495_x_at" 6.80627
"211526_s_at" 4.79649
"211532_x_at" 6.79859
"211567_at" 5.83521
"211606_at" 6.35559
"211608_at" 6.38102
"211611_s_at" 6.35476
"211619_s_at" 6.20127
"211620_x_at" 7.07722
"211632_at" 4.5874
"211634_x_at" 6.7295
"211635_x_at" 7.0796
"211636_at" 4.53545
"211637_x_at" 6.57174
"211638_at" 4.6991
"211639_x_at" 6.84266
"211640_x_at" 5.64087
"211641_x_at" 6.8644
"211642_at" 5.32894
"211643_x_at" 8.91194
"211644_x_at" 7.59803
"211645_x_at" 7.55511
"211646_at" 4.85772
"211647_x_at" 5.52478
"211648_at" 5.56418
"211649_x_at" 6.84566
"211650_x_at" 7.11951
"211656_x_at" 8.16835
"211666_x_at" 10.2521
"211674_x_at" 5.69906
"211688_x_at" 6.0481
"211691_x_at" 6.72983
"211692_s_at" 7.74785
"211699_x_at" 9.49772
"211704_s_at" 6.93565
"211710_x_at" 12.3904
"211725_s_at" 8.87184
"211739_x_at" 6.47927
"211745_x_at" 9.78905
"211751_at" 4.77765
"211775_x_at" 4.45712
"211781_x_at" 6.77911
"211787_s_at" 10.6852
"211796_s_at" 6.77288
"211818_s_at" 7.3137
"211835_at" 7.6189
"211868_x_at" 7.23094
"211869_at" 6.46256
"211876_x_at" 5.92129
"211877_s_at" 5.11594
"211878_at" 5.04394
"211910_at" 6.75237
"211921_x_at" 10.5614
"211927_x_at" 12.8875
"211931_s_at" 10.5708
"211933_s_at" 10.3181
"211940_x_at" 10.7085
"211942_x_at" 11.826
"211973_at" 6.65594
"211976_at" 9.67018
"211978_x_at" 12.754
"211984_at" 9.37109
"211985_s_at" 6.71944
"211996_s_at" 7.4668
"211997_x_at" 10.7329
"211998_at" 10.9078
"211999_at" 11.6989
"212015_x_at" 9.60328
"212016_s_at" 7.13567
"212039_x_at" 13.5668
"212117_at" 8.78116
"212164_at" 7.82063
"212165_at" 8.7411
"212178_s_at" 7.71314
"212181_s_at" 9.0131
"212182_at" 5.38192
"212191_x_at" 11.7083
"212236_x_at" 9.59854
"212241_at" 7.14132
"212243_at" 8.23465
"212244_at" 8.42209
"212270_x_at" 13.4841
"212346_s_at" 8.20463
"212347_x_at" 7.7263
"212370_x_at" 8.42584
"212384_at" 5.98228
"212390_at" 7.50042
"212391_x_at" 13.2311
"212392_s_at" 6.00667
"212401_s_at" 8.42817
"212414_s_at" 9.25574
"212433_x_at" 12.3482
"212499_s_at" 8.52985
"212512_s_at" 8.25842
"212535_at" 7.77597
"212537_x_at" 13.4364
"212591_at" 7.62858
"212593_s_at" 11.2668
"212594_at" 7.98034
"212605_s_at" 6.35638
"212608_s_at" 9.05878
"212661_x_at" 11.9408
"212671_s_at" 6.96999
"212700_x_at" 7.12246
"212706_at" 5.24073
"212707_s_at" 7.34602
"212734_x_at" 12.9893
"212758_s_at" 7.25175
"212764_at" 5.82882
"212790_x_at" 13.0039
"212801_at" 8.67514
"212821_at" 7.13661
"212842_x_at" 9.12919
"212847_at" 6.86216
"212868_x_at" 8.35674
"212913_at" 7.45086
"212929_s_at" 9.13826
"212933_x_at" 12.5875
"212979_s_at" 5.50028
"212981_s_at" 6.00665
"212995_x_at" 9.01176
"212998_x_at" 7.93637
"212999_x_at" 7.19412
"213003_s_at" 8.07744
"213013_at" 6.46228
"213063_at" 8.90591
"213080_x_at" 13.3462
"213084_x_at" 13.4382
"213090_s_at" 7.10633
"213129_s_at" 9.21185
"213133_s_at" 8.52926
"213155_at" 7.45881
"213156_at" 6.97796
"213157_s_at" 6.66454
"213158_at" 7.65803
"213161_at" 8.3299
"213166_x_at" 8.88622
"213167_s_at" 6.03257
"213212_x_at" 6.7232
"213215_at" 8.13887
"213259_s_at" 7.79163
"213265_at" 8.10564
"213266_at" 8.61897
"213297_at" 8.58005
